No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
88.0,22.0,TE,17,6,251,6-Jun,IndianaMichigan,5/3/02,Rook,2.0,Seattle Seahawks / 4th / 121st pick / 2024,BarnAJ00
19.0,26.0,WR,17,3,207,4-Jun,DukeUCLA,8/4/98,1,1.0,,BoboJa00
86.0,30.0,TE,15,7,246,5-Jun,Oregon,5/4/94,7,0.0,,BrowPh01
22.0,27.0,CB,13,3,185,10-May,Oklahoma,9/24/97,3,2.0,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03
8.0,25.0,CB,17,11,193,1-Jun,Cincinnati,3/29/99,2,5.0,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01
23.0,29.0,CB,4,0,187,Jun-00,Miami (FL),5/1/95,8,0.0,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00
26.0,23.0,RB,17,6,214,1-Jun,MichiganUCLA,1/8/01,1,6.0,Seattle Seahawks / 2nd / 52nd pick / 2023,CharZa00
67.0,24.0,T,17,17,311,5-Jun,Mississippi St.,11/25/00,2,7.0,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00
1.0,25.0,WR,5,0,175,8-May,North Texas,1/14/99,3,0.0,Tampa Bay Buccaneers / 4th / 129th pick / 2021,DardJa00
4.0,28.0,P,17,0,208,2-Jun,Texas,1/4/96,6,4.0,Seattle Seahawks / 5th / 149th pick / 2018,DickMi00
87.0,27.0,TE,14,9,249,4-Jun,Iowa,11/20/97,5,4.0,Denver Broncos / 1st / 20th pick / 2019,FantNo00
30.0,23.0,S,4,0,188,Jun-00,Mississippi,9/14/01,1,0.0,,FinlAJ00
78.0,27.0,T,9,5,307,8-Jun,Florida,12/29/97,3,2.0,Seattle Seahawks / 6th / 208th pick / 2021,ForsSt00
58.0,23.0,OLB,17,14,254,3-Jun,Auburn,3/19/01,1,9.0,Seattle Seahawks / 2nd / 37th pick / 2023,HallDe04
15.0,26.0,QB,0,0,207,Jun-00,BYU,3/24/98,1,,Minnesota Vikings / 5th / 164th pick / 2023,HallJa00
97.0,32.0,DT,17,8,325,3-Jun,Ohio St.,3/30/92,11,5.0,New York Giants / 2nd / 49th pick / 2013,HankJo00
64.0,24.0,OG,16,0,318,2-Jun,Connecticut,4/13/00,Rook,1.0,Seattle Seahawks / 3rd / 81st pick / 2024,HaynCh00
36.0,25.0,RB,5,0,210,11-May,Boise St.,12/16/99,Rook,0.0,,HolaGe00
6.0,24.0,QB,2,0,220,1-Jun,North Carolina,9/16/00,2,0.0,Washington Commanders / 5th / 144th pick / 2022,HoweSa00
2.0,30.0,SS,13,9,220,1-Jun,Miami (FL),1/25/94,7,4.0,Los Angeles Chargers / 4th / 113th pick / 2017,JenkRa00
65.0,25.0,OT,10,3,294,5-Jun,Findlay,8/18/99,Rook,2.0,Seattle Seahawks / 6th / 207th pick / 2024,JerrMi00
55.0,27.0,LB,17,7,281,3-Jun,Ohio St.,1/5/97,5,5.0,Denver Broncos / 3rd / 71st pick / 2019,JoneDr00
13.0,25.0,LB,10,10,233,2-Jun,South Carolina,11/22/99,3,5.0,Los Angeles Rams / 3rd / 103rd pick / 2021,JoneEr01
48.0,24.0,LB,16,9,233,Jun-00,Independence (KS)Texas-El Paso,12/20/00,Rook,6.0,Seattle Seahawks / 4th / 118th pick / 2024,KnigTy00
63.0,23.0,OG,6,6,319,4-Jun,Utah,1/13/01,Rook,2.0,Seattle Seahawks / 6th / 179th pick / 2024,LaumSa00
16.0,32.0,WR,17,14,182,10-May,Kansas St.,9/28/92,9,5.0,Seattle Seahawks / 3rd / 69th pick / 2015,LockTy00
20.0,26.0,FS,17,17,195,11-May,Notre Dame,3/19/98,5,7.0,New York Giants / 4th / 108th pick / 2019,LoveJu00
53.0,26.0,LB,15,11,261,4-Jun,Minnesota,11/30/98,2,6.0,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00
25.0,24.0,RB,17,0,204,Jun-00,Georgia,3/3/00,1,1.0,Seattle Seahawks / 7th / 237th pick / 2023,McInKe00
14.0,27.0,WR,15,12,235,4-Jun,Mississippi,12/14/97,5,7.0,Seattle Seahawks / 2nd / 64th pick / 2019,MetcDK00
94.0,23.0,DE,15,0,295,6-Jun,Michigan,4/22/01,1,1.0,Seattle Seahawks / 5th / 151st pick / 2023,MorrMi00
91.0,22.0,DT,14,9,306,Jun-00,Texas,9/8/02,Rook,5.0,Seattle Seahawks / 1st / 16th pick / 2024,MurpBy01
5.0,33.0,K,17,0,190,10-May,Marist,5/12/91,9,4.0,,MyerJa00
10.0,28.0,LB,6,2,251,2-Jun,USC,12/28/96,6,1.0,Los Angeles Chargers / 2nd / 48th pick / 2018,NwosUc00
52.0,26.0,LB,5,0,227,1-Jun,Univ. of MaryMontana,12/31/98,1,0.0,,OConPa01
51.0,25.0,C,12,8,309,3-Jun,Air ForceVirginiaMichigan,8/5/99,1,3.0,Seattle Seahawks / 5th / 154th pick / 2023,OluwOl00
76.0,25.0,NT,0,0,319,3-Jun,USC,4/2/99,1,,,PiliBr00
17.0,23.0,WR,0,0,200,Jun-00,UCF,1/2/01,Rook,,,PlumJo00
28.0,23.0,CB,10,1,188,Jun-00,Auburn,2/11/01,Rook,1.0,Seattle Seahawks / 5th / 136th pick / 2024,PritNe00
90.0,32.0,NT,17,8,306,3-Jun,East Mississippi CCAlabama,12/16/92,8,5.0,Seattle Seahawks / 2nd / 49th pick / 2016,ReedJa02
95.0,31.0,DT,11,0,290,5-Jun,Texas-El Paso,7/23/93,7,1.0,,RobeRo00
18.0,25.0,LB,10,0,229,Jun-00,Michigan,10/31/99,2,1.0,,RossJo01
7.0,34.0,QB,17,17,221,3-Jun,West Virginia,10/10/90,11,12.0,New York Jets / 2nd / 39th pick / 2013,SmitGe00
11.0,22.0,WR,17,16,197,Jun-00,Ohio St.,2/14/02,1,9.0,Seattle Seahawks / 1st / 20th pick / 2023,SmitJa06
41.0,26.0,LS,17,0,255,2-Jun,Penn St.,8/3/98,1,1.0,,StolCh00
61.0,25.0,C,12,0,301,5-Jun,North Dakota St.,10/18/99,Rook,1.0,,SundJa00
42.0,24.0,LB,17,0,228,11-May,North Carolina St.,2/25/00,1,1.0,,ThomDr00
70.0,32.0,G,17,17,323,3-Jun,Duke,2/9/92,9,6.0,Detroit Lions / 1st / 28th pick / 2015,TomlLa01
82.0,26.0,WR,4,0,215,3-Jun,Michigan St.,11/28/98,3,0.0,,WhitCo05
99.0,30.0,DE,16,16,300,5-Jun,USC,6/20/94,9,13.0,New York Jets / 1st / 6th pick / 2015,WillLe02
21.0,24.0,CB,17,17,185,Jun-00,Illinois,12/11/00,1,10.0,Seattle Seahawks / 1st / 5th pick / 2023,WithDe00
27.0,25.0,CB,15,14,210,4-Jun,Texas-San Antonio,5/2/99,2,6.0,Seattle Seahawks / 5th / 153rd pick / 2022,WoolTa00
83.0,25.0,WR,14,0,224,2-Jun,Lenoir-Rhyne,6/4/99,2,0.0,Seattle Seahawks / 7th / 233rd pick / 2022,YounDa02
73.0,42.0,T,0,0,328,4-Jun,Arkansas,1/22/82,20,,,PeteJa21
24.0,27.0,S,9,0,205,11-May,Clemson,7/25/97,4,1.0,Philadelphia Eagles / 4th / 127th pick / 2020,WallKV00
75.0,23.0,G,11,11,332,5-Jun,LSU,4/28/01,1,4.0,Seattle Seahawks / 4th / 108th pick / 2023,BradAn00
74.0,32.0,T,2,2,316,5-Jun,Western Kentucky,7/19/92,8,1.0,,FantGe00
50.0,27.0,LB,5,0,263,4-Jun,Tulsa,6/13/97,4,0.0,Chicago Bears / 5th / 155th pick / 2020,GipsTr00
29.0,26.0,CB,10,6,190,11-May,Alabama,4/9/98,2,3.0,,JobeJo00
72.0,26.0,T,7,7,322,6-Jun,Washington St.,10/25/98,2,3.0,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00
49.0,26.0,LB,0,0,252,2-Jun,Framingham St.,3/3/98,2,,,OnujJo00
32.0,24.0,FS,5,0,196,9-May,Northwest Mississippi CCNew Mexico,8/7/00,1,0.0,Seattle Seahawks / 6th / 198th pick / 2023,ReedJe00
38.0,26.0,TE,11,0,250,3-Jun,Colorado,8/31/98,1,0.0,,RussBr00
9.0,24.0,RB,11,11,211,9-May,Wake ForestMichigan St.,10/20/00,2,5.0,Seattle Seahawks / 2nd / 41st pick / 2022,WalkKe00
93.0,24.0,NT,1,0,304,3-Jun,Mississippi St.,6/8/00,1,0.0,Seattle Seahawks / 4th / 123rd pick / 2023,YounCa00
,25.0,OL,0,0,344,5-Jun,NavarroOregon,5/25/99,1,,Baltimore Ravens / 6th / 199th pick / 2023,AumaMa00
92.0,25.0,DT,1,0,360,4-Jun,Kentucky,3/16/99,3,0.0,Dallas Cowboys / 6th / 192nd pick / 2021,BohaQu00
35.0,23.0,CB,0,0,192,11-May,San MateoOregon St.,8/31/01,Rook,,,CoopBu00
46.0,24.0,LB,0,0,217,Jun-00,Miami (OH),1/28/00,Rook,,,DoweMi00
33.0,26.0,CB,0,0,190,10-May,Wyoming,10/31/98,4,,,HallTy01
60.0,25.0,C,0,0,309,3-Jun,Kansas,12/17/99,Rook,,,NoviMi00
77.0,24.0,LB,0,0,259,6-Jun,,11/29/00,Rook,,,OdumKe00
39.0,25.0,FS,4,0,193,11-May,Montana St.,6/4/99,1,0.0,,OkadTy00
0.0,27.0,WR,0,0,204,Jun-00,Clemson,10/30/97,2,,Kansas City Chiefs / 5th / 181st pick / 2021,PoweCo00
44.0,24.0,LB,1,0,265,2-Jun,Mississippi Gulf Coast CCSouth Alabama,8/18/00,Rook,0.0,,SherJa01
59.0,24.0,OLB,0,0,255,3-Jun,Ohio St.,2/14/00,1,,Seattle Seahawks / 5th / 158th pick / 2022,SmitTy03
37.0,26.0,CB,0,0,180,10-May,Highland (KS)Houston,7/15/98,2,,Baltimore Ravens / 4th / 141st pick / 2022,WillDa15
,24.0,CB,0,0,193,2-Jun,Baylor,6/10/00,2,,Los Angeles Chargers / 3rd / 79th pick / 2022,WoodJT00
87.0,23.0,TE,15,5,251,6-Jun,Clemson,2/3/01,1,0.0,Los Angeles Rams / 5th / 175th pick / 2023,AlleDa02
5.0,25.0,WR,17,5,165,9-May,Louisville,10/7/99,3,5.0,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
73.0,25.0,OL,10,10,338,3-Jun,TCU,10/16/99,1,5.0,Los Angeles Rams / 2nd / 36th pick / 2023,AvilSt00
13.0,27.0,QB,0,0,190,11-May,Jones County JCGeorgia,10/28/97,Rook,,Los Angeles Rams / 4th / 128th pick / 2023,BennSt00
95.0,24.0,NT,17,16,332,4-Jun,Texas A&M,8/7/00,3,7.0,Los Angeles Rams / 4th / 117th pick / 2021,BrowBo04
3.0,25.0,DB,16,16,205,2-Jun,Arkansas,3/31/99,4,6.0,Washington Football Team / 7th / 216th pick / 2020,CurlKa00
90.0,24.0,DL,16,0,299,2-Jun,Clemson,11/1/00,Rook,1.0,Los Angeles Rams / 6th / 196th pick / 2024,DaviTy05
67.0,24.0,OL,13,3,300,2-Jun,USC,4/24/00,Rook,2.0,,DediJu00
69.0,28.0,OL,16,16,330,4-Jun,Louisiana,9/18/96,4,8.0,Pittsburgh Steelers / 4th / 135th pick / 2020,DotsKe00
14.0,26.0,DB,15,14,182,11-May,South Carolina St.,2/9/98,2,5.0,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
42.0,23.0,P,16,0,250,3-Jun,Wingate,7/19/01,1,2.0,Los Angeles Rams / 7th / 223rd pick / 2023,EvanEt00
55.0,24.0,DE,17,8,295,4-Jun,Western MichiganFlorida St.,1/18/00,Rook,5.0,Los Angeles Rams / 2nd / 39th pick / 2024,FiskBr00
25.0,23.0,CB,2,1,180,Jun-00,Mississippi St.,1/13/01,1,0.0,Washington Commanders / 1st / 16th pick / 2023,ForbEm00
92.0,27.0,NT,14,4,315,2-Jun,Oklahoma,1/17/97,4,2.0,Dallas Cowboys / 3rd / 82nd pick / 2020,GallNe00
11.0,33.0,QB,1,1,225,2-Jun,Eastern Illinois,11/2/91,10,1.0,New England Patriots / 2nd / 62nd pick / 2014,GaroJi00
79.0,32.0,OL,11,11,323,8-Jun,Wisconsin,5/13/92,9,5.0,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00
89.0,31.0,TE,3,3,255,6-Jun,Western Kentucky,1/1/93,8,1.0,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
97.0,27.0,OLB,17,5,267,4-Jun,Brown,10/5/97,3,3.0,,HoecMi00
35.0,25.0,LB,17,1,227,1-Jun,Iowa St.,1/4/99,2,2.0,,HummJa00
77.0,26.0,OL,14,14,345,7-Jun,Iowa,7/14/98,3,7.0,,JackAl01
44.0,24.0,OLB,7,1,266,4-Jun,Washington St.,10/14/00,Rook,1.0,Los Angeles Rams / 5th / 154th pick / 2024,JackBr02
72.0,27.0,G,4,4,315,4-Jun,RutgersOhio St.,2/5/97,4,2.0,Detroit Lions / 3rd / 75th pick / 2020,JackJo03
94.0,25.0,DE,10,0,285,3-Jun,Toledo,9/3/99,1,1.0,Los Angeles Rams / 7th / 259th pick / 2023,JohnDe08
43.0,29.0,S,2,1,204,Jun-00,Boston Col.,12/19/95,7,1.0,Los Angeles Rams / 3rd / 91st pick / 2017,JohnJo10
18.0,26.0,WR,15,2,208,1-Jun,Minnesota,8/25/98,4,3.0,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00
16.0,22.0,K,17,0,207,2-Jun,Stanford,3/7/02,Rook,2.0,Los Angeles Rams / 6th / 209th pick / 2024,KartJo00
26.0,22.0,DB,17,4,207,11-May,Miami (FL),9/29/02,Rook,3.0,Los Angeles Rams / 3rd / 99th pick / 2024,KincKa00
10.0,31.0,WR,12,11,207,2-Jun,Eastern Washington,6/15/93,7,6.0,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00
37.0,25.0,DB,17,16,196,1-Jun,UCLA,1/29/99,2,5.0,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
50.0,23.0,OL,16,14,312,5-Jun,Arkansas,6/10/01,Rook,7.0,Los Angeles Rams / 6th / 217th pick / 2024,LimmBe00
84.0,26.0,TE,17,2,243,5-Jun,Boston Col.,8/19/98,3,1.0,Miami Dolphins / 3rd / 81st pick / 2021,LongHu00
71.0,23.0,OL,13,5,317,4-Jun,Georgia,4/11/01,1,3.0,Los Angeles Rams / 5th / 174th pick / 2023,McClWa00
39.0,24.0,DB,17,1,202,Jun-00,Tennessee,10/12/00,Rook,2.0,,McCoJa02
63.0,23.0,OL,1,1,298,3-Jun,North Carolina St.,1/22/01,Rook,0.0,Philadelphia Eagles / 6th / 190th pick / 2024,McMaDy00
17.0,23.0,WR,11,11,212,2-Jun,WashingtonBYU,5/29/01,1,9.0,Los Angeles Rams / 5th / 177th pick / 2023,NacuPu00
70.0,29.0,OL,4,4,300,5-Jun,TCU,6/19/95,6,2.0,Los Angeles Rams / 3rd / 89th pick / 2018,NoteJo00
86.0,25.0,TE,17,9,265,7-Jun,Stanford,1/8/99,4,3.0,Seattle Seahawks / 4th / 133rd pick / 2020,ParkCo02
20.0,25.0,RB,17,0,192,9-May,Fresno St.,1/31/99,2,1.0,,RiveRo01
15.0,30.0,WR,17,17,202,1-Jun,Florida,9/21/94,8,4.0,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01
56.0,27.0,LB,17,11,237,2-Jun,South Dakota St.,1/30/97,3,5.0,,RozeCh00
32.0,25.0,RB,1,0,202,8-May,Truman St.Missouri,9/8/99,Rook,0.0,,SchrCo00
19.0,27.0,WR,15,0,176,9-May,Florida A&M,9/21/97,1,0.0,,SmitXa00
48.0,23.0,LB,17,10,228,1-Jun,Oregon St.LSU,3/2/01,Rook,5.0,,SpeiOm00
9.0,36.0,QB,16,16,214,3-Jun,Georgia,2/7/88,15,12.0,Detroit Lions / 1st / 1st pick / 2009,StafMa00
91.0,25.0,DE,17,16,297,2-Jun,RichmondWake Forest,4/26/99,1,8.0,Los Angeles Rams / 3rd / 89th pick / 2023,TurnKo00
8.0,24.0,OLB,17,16,250,4-Jun,Albany (NY)Florida St.,11/4/00,Rook,10.0,Los Angeles Rams / 1st / 19th pick / 2024,VersJa00
30.0,24.0,DB,17,3,189,Jun-00,MassachusettsMichigan,7/5/00,Rook,2.0,,WallJo00
47.0,25.0,LS,17,0,241,4-Jun,Central Florida,4/21/99,1,1.0,,WardAl00
88.0,24.0,WR,15,3,202,1-Jun,Texas,10/1/00,Rook,3.0,Los Angeles Rams / 6th / 213th pick / 2024,WhitJo04
24.0,31.0,DB,12,11,192,9-May,Ala-Birmingham,3/15/93,6,4.0,,WillDa09
23.0,24.0,RB,16,16,202,9-May,Notre Dame,8/26/00,2,9.0,Los Angeles Rams / 5th / 164th pick / 2022,WillKy02
4.0,29.0,CB,13,5,195,2-Jun,Colorado,3/21/95,7,2.0,San Francisco 49ers / 3rd / 66th pick / 2017,WithAh00
0.0,26.0,OLB,17,16,258,2-Jun,Georgia MilitaryTennessee,3/13/98,1,7.0,Los Angeles Rams / 3rd / 77th pick / 2023,YounBy01
66.0,25.0,OL,0,0,337,4-Jun,Kansas St.,10/28/99,Rook,,Los Angeles Rams / 7th / 254th pick / 2024,LeveKT00
52.0,27.0,DE,0,0,285,2-Jun,North Carolina St.,4/24/97,4,,Tennessee Titans / 5th / 174th pick / 2020,MurcLa00
51.0,30.0,LB,6,6,236,3-Jun,Penn St.Delaware,9/13/94,5,3.0,,ReedTr01
22.0,24.0,RB,17,1,210,8-May,Michigan,11/25/00,Rook,2.0,Los Angeles Rams / 3rd / 83rd pick / 2024,CoruBl00
31.0,24.0,OLB,14,0,247,3-Jun,Appalachian St.,4/5/00,1,1.0,Los Angeles Rams / 5th / 161st pick / 2023,HampNi00
1.0,24.0,DB,0,0,199,Jun-00,ClemsonGeorgia,8/24/00,2,,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
64.0,32.0,T,0,0,305,8-Jun,UCLA,10/19/92,7,,New England Patriots / 6th / 211th pick / 2017,McDeCo00
6.0,24.0,DB,0,0,177,9-May,TCU,1/10/00,1,,Los Angeles Rams / 6th / 182nd pick / 2023,HodgTr00
61.0,27.0,OL,2,0,308,7-Jun,Michigan St.,8/13/97,2,0.0,Los Angeles Rams / 7th / 261st pick / 2022,ArcuAJ00
2.0,26.0,WR,0,0,208,1-Jun,Wisconsin,4/1/98,4,,Detroit Lions / 5th / 166th pick / 2020,CephQu00
40.0,25.0,LB,0,0,222,Jun-00,ArizonaWest Virginia,6/18/99,3,,Cleveland Browns / 5th / 153rd pick / 2021,FielTo00
27.0,26.0,CB,0,0,198,2-Jun,Oklahoma St.,6/9/98,4,,,GreeAJ00
93.0,26.0,DT,0,0,304,3-Jun,Northern IllinoisIowa,3/8/98,3,,,HeflJa00
34.0,25.0,DB,0,0,195,8-May,North Carolina State,10/29/99,Rook,,,InglTa00
38.0,26.0,DB,0,0,186,9-May,Appalachian St.,10/17/98,2,,,JollSh00
33.0,23.0,DB,4,0,176,11-May,Utah St.Washington St.,7/31/01,Rook,0.0,,LampCa00
58.0,23.0,LB,6,0,227,Jun-00,Marshall,9/11/01,Rook,0.0,,NealEl00
65.0,27.0,DL,0,0,315,3-Jun,Central Missouri,11/3/97,Rook,,,OlajDa00
6.0,25.0,WR,0,0,189,10-May,Oklahoma,6/16/99,Rook,,,StooDr00
96.0,26.0,OLB,1,1,260,2-Jun,South CarolinaFlorida St.,1/25/98,2,0.0,,ThomKe04
21.0,24.0,CB,12,0,185,11-May,Illinois St.West VirginiaSMU,6/17/00,Rook,1.0,,WoodCh01
74.0,24.0,OL,15,5,316,4-Jun,Wilfrid LaurierGarden City (KS)Illinois,7/21/00,Rook,3.0,Arizona Cardinals / 3rd / 71st pick / 2024,AdamIs01
3.0,28.0,S,17,17,195,10-May,Washington,1/10/96,7,9.0,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
51.0,26.0,LB,17,0,229,2-Jun,UCLA,4/2/98,4,1.0,,BarnKr00
68.0,35.0,OL,16,12,308,3-Jun,SMU,6/8/89,12,6.0,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
46.0,34.0,LS,17,0,232,5-Jun,San Diego St.,7/5/90,12,1.0,,BrewAa00
62.0,28.0,OL,17,17,320,3-Jun,SMU,9/16/96,5,8.0,,BrowEv00
53.0,25.0,OLB,8,1,240,3-Jun,Ohio St.,2/19/99,3,1.0,Denver Broncos / 3rd / 105th pick / 2021,BrowBa01
22.0,25.0,RB,3,1,201,8-May,North Carolina,5/7/99,3,1.0,New York Jets / 4th / 107th pick / 2021,CartMi03
36.0,28.0,S,3,0,197,Jun-00,San Jose St.,2/10/96,3,0.0,,ChacAn00
13.0,23.0,CB,15,1,181,10-May,LibertyLouisville,3/19/01,1,1.0,Arizona Cardinals / 6th / 180th pick / 2023,ClarKe02
