No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
91.0,29.0,DL,17,15,291,2-Jun,TCU,9/12/95,5,7.0,Seattle Seahawks / 1st / 29th pick / 2019,CollLJ00
25.0,25.0,OLB,17,17,260,4-Jun,Tulsa,5/19/99,3,7.0,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00
63.0,26.0,OL,17,7,313,3-Jun,Missouri,3/23/98,4,4.0,,ColoTr01
20.0,26.0,RB,17,0,214,10-May,Miami (FL),9/16/98,4,1.0,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00
52.0,25.0,OLB,11,0,262,2-Jun,Duke,11/18/99,3,1.0,Arizona Cardinals / 6th / 210th pick / 2021,DimuVi00
4.0,26.0,WR,17,4,175,7-May,Wake Forest,5/29/98,5,3.0,,DortGr01
48.0,26.0,LB,2,0,228,1-Jun,WashingtonIllinois,2/13/98,3,0.0,,EiflMi00
72.0,28.0,OL,17,17,310,5-Jun,Arkansas,8/20/96,4,8.0,New England Patriots / 4th / 118th pick / 2019,FrohHj00
59.0,25.0,OL,13,0,303,4-Jun,UCLA,5/24/99,1,1.0,Arizona Cardinals / 4th / 122nd pick / 2023,GainJo00
18.0,22.0,WR,17,16,205,4-Jun,Ohio St.,8/11/02,Rook,8.0,Arizona Cardinals / 1st / 4th pick / 2024,HarrMa09
84.0,24.0,TE,17,6,235,3-Jun,Stanford,10/27/00,1,2.0,Miami Dolphins / 6th / 197th pick / 2023,HiggEl00
75.0,24.0,OL,2,1,318,5-Jun,Texas,5/12/00,Rook,1.0,Arizona Cardinals / 5th / 162nd pick / 2024,JoneCh12
96.0,26.0,DT,12,0,313,3-Jun,Michigan St.,2/5/98,3,1.0,,JoneNa01
27.0,26.0,LB,0,0,225,2-Jun,USCNorth Carolina St.,5/5/98,2,,,JoneVi00
17.0,29.0,WR,11,2,200,2-Jun,East Carolina,3/30/95,7,1.0,Buffalo Bills / 2nd / 37th pick / 2017,JoneZa00
50.0,27.0,OL,1,0,310,3-Jun,Rice,1/11/97,3,0.0,,LeveNi00
98.0,27.0,DL,16,16,318,2-Jun,New Mexico St.Arizona,8/7/97,3,7.0,Houston Texans / 6th / 195th pick / 2021,LopeRo00
85.0,25.0,TE,16,16,246,4-Jun,Colorado St.,11/22/99,2,11.0,Arizona Cardinals / 2nd / 55th pick / 2022,McBrTr01
16.0,22.0,CB,17,3,193,11-May,Rutgers,4/15/02,Rook,2.0,Arizona Cardinals / 2nd / 43rd pick / 2024,MeltMa00
23.0,27.0,CB,15,15,195,Jun-00,Central Michigan,6/19/97,5,5.0,Tampa Bay Buccaneers / 2nd / 39th pick / 2019,BuntSe00
1.0,27.0,QB,17,17,207,10-May,Texas A&MOklahoma,8/7/97,5,15.0,Arizona Cardinals / 1st / 1st pick / 2019,MurrKy00
58.0,27.0,OLB,13,1,250,4-Jun,Notre Dame,12/27/97,4,1.0,Detroit Lions / 3rd / 67th pick / 2020,OkwaJu00
10.0,32.0,P,4,0,200,11-May,Tennessee,7/6/92,8,0.0,,PalaMi00
44.0,24.0,LB,16,1,225,Jun-00,Auburn,9/29/00,1,1.0,Arizona Cardinals / 5th / 168th pick / 2023,PappOw00
0.0,30.0,WR,17,0,215,2-Jun,Old Dominion,12/18/94,6,0.0,,PascZa00
87.0,23.0,TE,17,9,273,4-Jun,Illinois,9/17/01,Rook,0.0,Arizona Cardinals / 3rd / 82nd pick / 2024,ReimTi00
56.0,23.0,DL,6,0,286,5-Jun,Missouri,9/13/01,Rook,0.0,Arizona Cardinals / 1st / 27th pick / 2024,RobiDa01
26.0,23.0,S,0,0,190,11-May,South CarolinaFlorida St.,1/24/01,1,,Carolina Panthers / 5th / 145th pick / 2023,RobiJa03
38.0,25.0,K,13,0,195,Jun-00,Eastern MichiganMaryland,10/15/99,1,3.0,New England Patriots / 4th / 112th pick / 2023,RylaCh00
55.0,25.0,DL,16,10,286,4-Jun,West Virginia,12/14/99,1,5.0,Arizona Cardinals / 6th / 213th pick / 2023,StilDa01
42.0,23.0,S,17,2,189,10-May,Texas Tech,1/20/01,Rook,1.0,Arizona Cardinals / 4th / 104th pick / 2024,TaylDa02
24.0,24.0,CB,17,15,194,10-May,Ala-Birmingham,1/25/00,1,5.0,,ThomSt01
54.0,25.0,OLB,14,0,244,2-Jun,Clemson,12/20/99,Rook,1.0,Arizona Cardinals / 5th / 138th pick / 2024,ThomXa01
34.0,26.0,S,15,15,190,11-May,Washington St.,7/18/98,5,5.0,Arizona Cardinals / 5th / 1st pick / 2019Â Supp,ThomJa04
95.0,28.0,DL,13,1,338,4-Jun,BYU,7/7/96,3,1.0,Chicago Bears / 7th / 250th pick / 2021,TongKh00
15.0,25.0,QB,6,0,220,3-Jun,Houston,3/23/99,1,0.0,Arizona Cardinals / 5th / 139th pick / 2023,TuneCl00
81.0,26.0,TE,1,0,260,6-Jun,RutgersNebraska,6/4/98,1,0.0,,VokoTr00
89.0,24.0,WR,2,0,180,1-Jun,South FloridaColorado,10/12/00,Rook,0.0,,WeavXa00
7.0,28.0,LB,17,17,234,2-Jun,West Virginia,3/24/96,6,8.0,Los Angeles Chargers / 4th / 119th pick / 2018,WhitKy00
49.0,25.0,OLB,0,0,260,4-Jun,Holy Cross,2/12/99,1,,,WhitBe00
21.0,23.0,CB,16,11,192,10-May,Syracuse,6/1/01,1,4.0,Arizona Cardinals / 3rd / 72nd pick / 2023,WillGa00
2.0,26.0,LB,16,16,246,1-Jun,Alabama,2/14/98,5,7.0,Cleveland Browns / 5th / 155th pick / 2019,WilsMa03
14.0,24.0,WR,16,13,213,2-Jun,Stanford,2/23/00,1,5.0,Arizona Cardinals / 3rd / 94th pick / 2023,WilsMi02
90.0,32.0,DL,1,0,318,4-Jun,Auburn,11/14/92,9,0.0,Tennessee Titans / 4th / 100th pick / 2015,BlacAn00
28.0,24.0,CB,0,0,184,2-Jun,Boston Col.,1/8/00,Rook,,Arizona Cardinals / 3rd / 90th pick / 2024,JoneEl00
5.0,40.0,K,4,0,201,10-May,Central Florida,8/10/84,17,1.0,,PratMa20
66.0,29.0,OL,4,2,302,7-Jun,Utah,8/8/95,3,1.0,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
33.0,21.0,RB,13,1,223,1-Jun,OregonFlorida St.,7/21/03,Rook,2.0,Arizona Cardinals / 3rd / 66th pick / 2024,BensTr01
32.0,26.0,S,15,0,201,1-Jun,Virginia,11/16/98,2,1.0,,BlouJo00
6.0,29.0,RB,16,16,233,1-Jun,Pittsburgh,5/5/95,7,11.0,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
31.0,25.0,RB,13,0,215,9-May,Saddleback CollegeTCU,1/20/99,1,2.0,,DemeEm00
45.0,30.0,OLB,7,3,232,Jun-00,Sioux Falls,8/9/94,6,2.0,,GardDe01
12.0,26.0,P,13,0,196,2-Jun,Penn St.,1/21/98,3,2.0,,GillBl00
76.0,29.0,OL,5,5,332,2-Jun,Texas-El Paso,9/2/95,6,2.0,New York Giants / 2nd / 34th pick / 2018,HernWi00
70.0,23.0,OL,14,14,313,6-Jun,Ohio St.,7/3/01,1,7.0,Arizona Cardinals / 1st / 6th pick / 2023,JohnPa03
93.0,28.0,DL,3,3,309,3-Jun,North Carolina St.,8/28/96,6,1.0,Los Angeles Chargers / 3rd / 84th pick / 2018,JoneJu03
43.0,25.0,OLB,10,2,253,3-Jun,Penn St.,1/15/99,2,2.0,Arizona Cardinals / 7th / 256th pick / 2022,LukeJe00
92.0,28.0,DL,6,5,313,4-Jun,Delaware,9/14/96,6,2.0,Chicago Bears / 5th / 145th pick / 2018,NichBi00
61.0,26.0,OL,0,0,305,5-Jun,University of Alberta,12/23/98,1,,,ODonCa00
9.0,22.0,OLB,0,0,256,2-Jun,LSU,4/5/02,1,,Arizona Cardinals / 2nd / 41st pick / 2023,OjulBJ00
73.0,27.0,OL,6,6,312,5-Jun,Alabama,11/17/97,4,3.0,Cincinnati Bengals / 1st / 11th pick / 2019,WillJo10
82.0,27.0,WR,0,0,175,10-May,Washington,1/7/97,2,,,BaccAn00
36.0,25.0,CB,0,0,177,Jun-00,Kansas St.,11/4/99,1,,,BoyeEk00
,,OLB,0,0,240,4-Jun,Virginia,,Rook,,,BrowEl00
,25.0,OL,0,0,325,6-Jun,Chattanooga,9/16/99,1,,,CurtMc00
39.0,23.0,CB,0,0,182,10-May,OklahomaMiami (FL),7/18/01,Rook,,Arizona Cardinals / 7th / 226th pick / 2024,DaviJa09
97.0,24.0,DE,0,0,284,5-Jun,Oklahoma St.,7/25/00,Rook,,,GoodAn00
30.0,24.0,CB,4,0,190,Jun-00,San Diego St.,5/2/00,3,0.0,Atlanta Falcons / 4th / 108th pick / 2021,HallDa03
63.0,23.0,C,0,0,310,1-Jun,Tulane,4/13/01,Rook,,,HaynSi00
,26.0,WR,0,0,191,1-Jun,Michigan St.Syracuse,3/9/98,1,,,JackTr02
79.0,25.0,OL,0,0,320,3-Jun,Ohio St.,6/13/99,Rook,,,JoneMa08
94.0,25.0,DT,0,0,318,4-Jun,Penn St.,11/10/99,1,,,MustPJ00
83.0,24.0,WR,0,0,210,2-Jun,Snow College (UT)Ala-Birmingham,5/19/00,Rook,,Arizona Cardinals / 6th / 191st pick / 2024,PalmTe00
47.0,27.0,TE,0,0,262,5-Jun,,7/24/97,Rook,,,SeikBe00
90.0,27.0,DL,3,0,296,4-Jun,Nebraska,11/12/97,2,0.0,,StilBe00
,26.0,WR,0,0,193,Jun-00,Southern Miss,6/9/98,4,,Philadelphia Eagles / 6th / 200th pick / 2020,WatkQu00
25.0,22.0,RB,0,0,216,10-May,Pittsburgh,10/5/02,1,,New York Jets / 5th / 143rd pick / 2023,AbanIs00
17.0,32.0,QB,3,1,209,2-Jun,Arkansas,9/5/92,5,1.0,Jacksonville Jaguars / 6th / 201st pick / 2016,AlleBr00
69.0,22.0,DL,12,1,326,3-Jun,Florida Atlantic,2/14/02,Rook,1.0,,AndeEv00
36.0,27.0,CB,0,0,185,11-May,ToledoRutgers,2/26/97,2,,,AverTr01
58.0,30.0,DL,3,0,250,2-Jun,San Diego St.,3/6/94,7,0.0,,BarrAl00
51.0,25.0,DL,14,0,250,4-Jun,Georgia,8/18/99,1,1.0,San Francisco 49ers / 5th / 173rd pick / 2023,BealRo00
48.0,23.0,LB,11,1,230,1-Jun,Central FloridaFlorida St.,2/19/01,Rook,1.0,San Francisco 49ers / 7th / 251st pick / 2024,BethTa00
97.0,27.0,DL,14,14,266,4-Jun,Ohio St.,10/23/97,5,8.0,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00
64.0,32.0,OL,17,17,299,4-Jun,UCLA,9/10/92,8,7.0,,BrenJa01
27.0,24.0,S,17,13,202,11-May,LackawannaPenn St.,1/25/00,1,4.0,San Francisco 49ers / 3rd / 87th pick / 2023,BrowJi01
99.0,29.0,DL,17,17,310,2-Jun,Nebraska,4/8/95,8,6.0,Dallas Cowboys / 3rd / 67th pick / 2016,CollMa00
18.0,32.0,WR,15,2,205,3-Jun,Georgia,10/25/92,9,1.0,Kansas City Chiefs / 3rd / 76th pick / 2015,ConlCh00
19.0,23.0,WR,15,0,171,9-May,Texas-El PasoArizona,2/4/01,Rook,1.0,San Francisco 49ers / 4th / 135th pick / 2024,CowiJa00
93.0,26.0,DL,13,0,310,2-Jun,Central Florida,10/2/98,1,1.0,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01
50.0,28.0,DT,3,0,315,2-Jun,Nebraska,8/22/96,4,0.0,Tampa Bay Buccaneers / 6th / 194th pick / 2020,DaviKh00
5.0,29.0,QB,2,1,220,3-Jun,Tennessee,1/26/95,6,1.0,Pittsburgh Steelers / 4th / 135th pick / 2017,DobbJo00
92.0,27.0,DL,15,13,303,4-Jun,TexasMissouri,11/23/97,4,4.0,Cleveland Browns / 3rd / 88th pick / 2020,ElliJo02
56.0,32.0,DL,17,17,240,3-Jun,Georgia,9/8/92,8,6.0,Chicago Bears / 1st / 9th pick / 2016,FloyLe00
43.0,34.0,S,9,0,212,11-May,Wyoming,8/7/90,12,0.0,,GipsTa00
41.0,23.0,LB,8,0,220,3-Jun,Purdue,1/11/01,1,0.0,San Francisco 49ers / 7th / 255th pick / 2023,GrahJa02
0.0,24.0,CB,17,7,186,Jun-00,Florida St.,11/9/00,Rook,3.0,San Francisco 49ers / 2nd / 64th pick / 2024,GreeRe00
94.0,26.0,DL,11,0,265,5-Jun,Penn St.,2/26/98,4,1.0,Carolina Panthers / 2nd / 38th pick / 2020,GrosYe00
31.0,24.0,RB,16,3,221,Jun-00,WisconsinLouisville,6/28/00,Rook,4.0,San Francisco 49ers / 4th / 129th pick / 2024,GuerIs00
75.0,28.0,OL,2,2,315,8-Jun,North Carolina,11/20/96,4,1.0,Houston Texans / 4th / 126th pick / 2020,HeckCh00
61.0,27.0,OL,2,0,295,4-Jun,Temple,11/17/97,4,0.0,Atlanta Falcons / 3rd / 78th pick / 2020,HennMa00
29.0,25.0,S,7,7,200,Jun-00,USC,2/2/99,3,2.0,San Francisco 49ers / 5th / 180th pick / 2021,HufaTa00
15.0,27.0,WR,15,10,212,3-Jun,Tennessee,7/10/97,3,8.0,San Francisco 49ers / 7th / 217th pick / 2020,JennJa00
44.0,33.0,FB,17,15,235,2-Jun,Harvard,4/23/91,11,2.0,Baltimore Ravens / 4th / 130th pick / 2013,JuszKy00
85.0,31.0,TE,15,15,250,4-Jun,Iowa,10/9/93,7,9.0,San Francisco 49ers / 5th / 146th pick / 2017,KittGe00
2.0,25.0,DB,15,15,200,10-May,Oregon,10/6/99,3,5.0,San Francisco 49ers / 5th / 172nd pick / 2021,LenoDe00
35.0,26.0,CB,8,0,193,1-Jun,North Carolina St.Notre Dame,7/9/98,3,0.0,,McClNi00
68.0,28.0,OL,17,17,301,6-Jun,West Virginia,8/9/96,4,7.0,San Francisco 49ers / 5th / 153rd pick / 2020,McKiCo00
4.0,25.0,K,14,0,210,1-Jun,Michigan,11/23/99,1,0.0,San Francisco 49ers / 3rd / 99th pick / 2023,MoodJa00
6.0,22.0,S,16,12,206,10-May,RichmondWake Forest,6/25/02,Rook,4.0,San Francisco 49ers / 4th / 124th pick / 2024,MustMa00
40.0,33.0,P,8,0,223,4-Jun,Miami (FL),2/22/91,10,1.0,Chicago Bears / 6th / 191st pick / 2014,ODonPa00
91.0,26.0,DL,16,3,269,1-Jun,Maryland,5/1/98,2,2.0,,OkuaSa00
14.0,24.0,WR,11,4,189,3-Jun,Arizona St.Florida,9/9/00,Rook,3.0,San Francisco 49ers / 1st / 31st pick / 2024,PearRi00
46.0,30.0,LS,17,0,245,4-Jun,Michigan St.,5/28/94,7,1.0,,PeppTa00
62.0,27.0,OL,3,0,330,7-Jun,Ohio,8/22/97,3,0.0,,PleaAu00
77.0,24.0,OL,17,17,313,5-Jun,Central Missouri St.Kansas,2/24/00,Rook,7.0,San Francisco 49ers / 3rd / 86th pick / 2024,PuniDo00
13.0,25.0,QB,15,15,220,1-Jun,Iowa St.,12/27/99,2,13.0,San Francisco 49ers / 7th / 262nd pick / 2022,PurdBr00
1.0,28.0,WR,15,15,215,Jun-00,South Carolina,1/15/96,5,6.0,San Francisco 49ers / 2nd / 36th pick / 2019,SamuDe00
82.0,30.0,TE,17,3,248,5-Jun,Drake,5/1/94,7,1.0,Atlanta Falcons / 5th / 174th pick / 2017,SaubEr00
32.0,26.0,RB,13,1,217,2-Jun,Memphis,4/29/98,3,1.0,,TaylPa01
88.0,25.0,TE,16,0,240,4-Jun,California,7/8/99,2,0.0,,TongJa00
7.0,28.0,CB,12,12,196,1-Jun,Hinds CCMiddle Tenn. St.,5/16/96,6,3.0,,WardCh01
54.0,28.0,LB,17,17,230,3-Jun,BYU,11/19/96,6,13.0,San Francisco 49ers / 3rd / 70th pick / 2018,WarnFr00
47.0,24.0,LB,1,0,225,Jun-00,Oklahoma,1/2/00,1,0.0,,WhitDa05
9.0,25.0,TE,10,0,240,4-Jun,Oklahoma,11/11/99,1,0.0,San Francisco 49ers / 7th / 247th pick / 2023,WillBr06
53.0,24.0,LB,15,10,227,11-May,TCU,10/17/00,1,4.0,San Francisco 49ers / 6th / 216th pick / 2023,WintDe00
33.0,28.0,CB,13,0,195,11-May,Temple,5/23/96,5,1.0,Indianapolis Colts / 2nd / 34th pick / 2019,Ya-SRo00
22.0,28.0,CB,17,5,232,1-Jun,Boston Col.,2/20/96,6,3.0,Denver Broncos / 3rd / 99th pick / 2018,YiadIs00
63.0,25.0,OL,17,2,316,6-Jun,Fordham,6/22/99,2,2.0,San Francisco 49ers / 6th / 187th pick / 2022,ZakeNi00
59.0,31.0,LB,13,12,232,4-Jun,Minnesota,7/1/93,8,4.0,Atlanta Falcons / 4th / 115th pick / 2016,CampDe00
95.0,23.0,DL,0,0,273,4-Jun,USC,4/12/01,2,,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01
11.0,26.0,WR,7,7,200,Jun-00,Arizona St.,3/17/98,4,3.0,San Francisco 49ers / 1st / 25th pick / 2020,AiyuBr00
65.0,27.0,OL,13,13,325,5-Jun,Notre Dame,9/3/97,3,6.0,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00
78.0,26.0,OL,3,2,315,6-Jun,Saint John's (MN),7/22/98,4,1.0,Jacksonville Jaguars / 4th / 116th pick / 2020,BartBe00
74.0,24.0,OL,15,0,300,4-Jun,Texas-San Antonio,7/19/00,2,1.0,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00
55.0,32.0,OL,0,0,325,4-Jun,Miami (FL),2/10/92,9,,Oakland Raiders / 4th / 128th pick / 2015,FeliJo00
45.0,28.0,LB,12,3,223,2-Jun,Arizona,9/4/96,4,2.0,,FlanDe00
90.0,27.0,DL,8,1,285,1-Jun,Penn St.,3/1/97,5,1.0,,GiveKe01
57.0,27.0,LB,2,2,230,Jun-00,Arkansas,5/25/97,5,1.0,San Francisco 49ers / 5th / 148th pick / 2019,GreeDr00
98.0,31.0,DL,3,3,305,2-Jun,South Carolina St.,2/7/93,8,1.0,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00
28.0,24.0,CB,3,0,190,Jun-00,Pearl River CCSouth Alabama,4/24/00,1,0.0,San Francisco 49ers / 5th / 155th pick / 2023,LuteDa00
24.0,25.0,RB,12,6,223,11-May,Georgia Tech,5/24/99,2,5.0,,MasoJo00
23.0,28.0,RB,4,4,210,11-May,Stanford,6/7/96,7,2.0,Carolina Panthers / 1st / 8th pick / 2017,McCaCh01
25.0,26.0,RB,0,0,200,10-May,Louisiana,5/2/98,3,,San Francisco 49ers / 6th / 194th pick / 2021,MitcEl00
76.0,26.0,OL,15,5,311,4-Jun,Western Michigan,1/9/98,3,3.0,San Francisco 49ers / 5th / 155th pick / 2021,MoorJa04
30.0,31.0,S,12,2,202,1-Jun,Central Arkansas,11/3/93,6,1.0,,OdumGe00
36.0,26.0,LB,3,0,235,3-Jun,Stanford,6/2/98,3,0.0,,RobiCu00
71.0,36.0,OT,10,10,320,5-Jun,Oklahoma,7/19/88,14,5.0,Washington Redskins / 1st / 4th pick / 2010,WillTr21
3.0,32.0,P,9,0,220,2-Jun,Utah,3/3/92,5,1.0,San Francisco 49ers / 4th / 110th pick / 2019,WishMi00
67.0,26.0,OL,0,0,320,7-Jun,No College,7/27/98,Rook,,,AlarIs00
84.0,28.0,WR,0,0,184,Jun-00,LSU,1/22/96,6,,Atlanta Falcons / 6th / 194th pick / 2018,GageRu00
96.0,25.0,DL,0,0,257,4-Jun,Miami (FL),7/28/99,4,,Green Bay Packers / 7th / 242nd pick / 2020,GarvJo00
60.0,26.0,T,1,0,308,6-Jun,Minot St.,7/6/98,2,0.0,,GutiSe00
87.0,26.0,WR,0,0,200,3-Jun,Oregon St.,10/21/98,3,,Buffalo Bills / 6th / 207th pick / 2020,HodgIs00
,26.0,DL,0,0,254,2-Jun,Coastal Carolina,6/22/98,3,,Philadelphia Eagles / 6th / 191st pick / 2021,JackTa02
,25.0,S,0,0,208,2-Jun,Memphis,11/5/99,1,,,JohnQu01
69.0,31.0,OL,0,0,301,6-Jun,North Dakota St.,11/14/93,2,,,JohnZa00
26.0,27.0,CB,0,0,184,11-May,Arizona St.,3/4/97,2,,Detroit Lions / 7th / 237th pick / 2022,LucaCh01
38.0,24.0,S,3,0,200,11-May,Vanderbilt,11/19/00,Rook,0.0,,MahoJa00
76.0,25.0,T,0,0,315,5-Jun,USC,7/10/99,Rook,,,McKeJa00
4.0,25.0,QB,0,0,218,2-Jun,OklahomaSMUWisconsin,11/8/99,Rook,,,MordTa00
66.0,23.0,OL,0,0,298,1-Jun,Michigan,2/9/01,Rook,,,NugeDr00
83.0,25.0,WR,0,0,193,3-Jun,Missouri State,9/25/99,Rook,,,OwenTe01
89.0,24.0,TE,0,0,254,6-Jun,Furman,2/5/00,Rook,,,PlinMa00
81.0,30.0,WR,2,0,178,8-May,Louisiana Tech,4/30/94,7,0.0,San Francisco 49ers / 5th / 177th pick / 2017,TaylTr02
